epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,187.181,1.61782,1.38279,1.23788,0.73872,0.65662,0.71596,0.36854,1.52326,1.00626,1.23567,0.000554467,0.000554467,0.000554467
2,364.921,1.50923,0.98961,1.19836,0.71428,0.68323,0.72321,0.39131,1.46776,0.91613,1.22113,0.00108815,0.00108815,0.00108815
3,542.835,1.49974,0.91915,1.19601,0.67577,0.66873,0.69027,0.36771,1.48889,0.91663,1.24195,0.00159983,0.00159983,0.00159983
4,717.641,1.48355,0.88709,1.19692,0.76519,0.7138,0.78015,0.42728,1.44181,0.80766,1.21076,0.00156798,0.00156798,0.00156798
5,893.33,1.45979,0.85014,1.18909,0.74887,0.72571,0.78954,0.44032,1.42837,0.79124,1.20525,0.00153497,0.00153497,0.00153497
6,1070.21,1.45346,0.83969,1.18605,0.76672,0.71339,0.77406,0.43096,1.43413,0.78915,1.21817,0.00150197,0.00150197,0.00150197
7,1247.22,1.45301,0.82695,1.18842,0.76607,0.74195,0.79822,0.4437,1.42495,0.77571,1.21139,0.00146896,0.00146896,0.00146896
8,1424.73,1.43295,0.80519,1.18261,0.77929,0.71308,0.79384,0.44119,1.41447,0.76774,1.21412,0.00143595,0.00143595,0.00143595
9,1603.78,1.43266,0.80885,1.18087,0.76934,0.73402,0.79975,0.45312,1.39141,0.72616,1.20089,0.00140295,0.00140295,0.00140295
10,1781.93,1.41889,0.78311,1.17483,0.76752,0.71745,0.77789,0.43222,1.40883,0.76547,1.21049,0.00136994,0.00136994,0.00136994
11,1960.54,1.41273,0.77618,1.17226,0.79194,0.72873,0.81045,0.45703,1.41045,0.72974,1.20431,0.00133693,0.00133693,0.00133693
12,2138.51,1.41781,0.77452,1.17443,0.78353,0.7448,0.81305,0.46323,1.38819,0.7119,1.19868,0.00130393,0.00130393,0.00130393
13,2315.73,1.39683,0.76688,1.17134,0.77003,0.73399,0.80377,0.46254,1.3894,0.71121,1.19679,0.00127092,0.00127092,0.00127092
14,2491.85,1.39952,0.7622,1.17026,0.79921,0.7362,0.81841,0.46569,1.37056,0.71509,1.19764,0.00123791,0.00123791,0.00123791
15,2670.44,1.39723,0.75522,1.16711,0.78889,0.72224,0.80673,0.46713,1.36622,0.71368,1.19456,0.00120491,0.00120491,0.00120491
16,2848.95,1.39832,0.75987,1.17115,0.77965,0.75777,0.82197,0.47158,1.3788,0.71255,1.21273,0.0011719,0.0011719,0.0011719
17,3028.19,1.38753,0.7502,1.16671,0.76277,0.74211,0.80697,0.46341,1.37368,0.70627,1.19824,0.00113889,0.00113889,0.00113889
18,3207.13,1.3835,0.74614,1.16288,0.7994,0.74334,0.8219,0.47533,1.36278,0.68493,1.18983,0.00110589,0.00110589,0.00110589
19,3385.71,1.38256,0.74181,1.16411,0.79041,0.73152,0.81011,0.46419,1.37444,0.69217,1.19682,0.00107288,0.00107288,0.00107288
20,3565.92,1.37538,0.73582,1.16415,0.80191,0.74736,0.82475,0.47793,1.35951,0.67782,1.19941,0.00103987,0.00103987,0.00103987
21,3745.97,1.37,0.73358,1.15936,0.76996,0.7654,0.82237,0.47357,1.36192,0.69508,1.1961,0.00100687,0.00100687,0.00100687
22,3925.8,1.36573,0.72086,1.15997,0.78694,0.76515,0.82828,0.47624,1.35818,0.65914,1.19023,0.000973861,0.000973861,0.000973861
23,4105.17,1.36629,0.72251,1.16041,0.79629,0.77152,0.82962,0.48176,1.35627,0.67082,1.19462,0.000940855,0.000940855,0.000940855
24,4284.3,1.36258,0.71767,1.1542,0.80523,0.75332,0.8277,0.47646,1.35752,0.66929,1.19708,0.000907848,0.000907848,0.000907848
25,4462.32,1.3634,0.71352,1.15412,0.80387,0.75197,0.83281,0.48527,1.34096,0.65468,1.18534,0.000874842,0.000874842,0.000874842
26,4641.9,1.35941,0.71318,1.15553,0.77316,0.77369,0.82417,0.4807,1.34711,0.66429,1.18763,0.000841835,0.000841835,0.000841835
27,4820.14,1.35876,0.70938,1.15177,0.80201,0.75716,0.83204,0.4791,1.36539,0.66676,1.19794,0.000808828,0.000808828,0.000808828
28,4997.5,1.35008,0.70489,1.15126,0.80387,0.75695,0.83803,0.48584,1.34593,0.65389,1.18898,0.000775822,0.000775822,0.000775822
29,5175.14,1.34755,0.70301,1.15042,0.79457,0.75792,0.83404,0.48583,1.34273,0.66919,1.1888,0.000742815,0.000742815,0.000742815
30,5353.43,1.3476,0.70178,1.15183,0.78766,0.76886,0.83053,0.48317,1.33963,0.65352,1.18751,0.000709809,0.000709809,0.000709809
31,5530.39,1.34239,0.69698,1.14656,0.80778,0.77167,0.8408,0.4923,1.33245,0.6451,1.18049,0.000676802,0.000676802,0.000676802
32,5709.17,1.33961,0.69239,1.14901,0.79711,0.76695,0.83737,0.49015,1.33407,0.64577,1.18669,0.000643795,0.000643795,0.000643795
33,5888.06,1.3418,0.6926,1.14823,0.82114,0.75527,0.83697,0.48929,1.34014,0.64905,1.19136,0.000610789,0.000610789,0.000610789
34,6066.25,1.33284,0.6875,1.14637,0.79542,0.77677,0.83684,0.48795,1.33719,0.64387,1.1869,0.000577782,0.000577782,0.000577782
35,6243.98,1.32707,0.6804,1.1427,0.80427,0.77389,0.84278,0.49331,1.33316,0.63878,1.18467,0.000544776,0.000544776,0.000544776
36,6421.29,1.32324,0.67013,1.14094,0.81019,0.77452,0.84558,0.49317,1.33199,0.63995,1.18571,0.000511769,0.000511769,0.000511769
37,6598.94,1.31947,0.67156,1.1408,0.80869,0.76845,0.84529,0.49693,1.32848,0.63351,1.18118,0.000478762,0.000478762,0.000478762
38,6777.26,1.31805,0.67856,1.1381,0.79437,0.7765,0.83726,0.49006,1.33867,0.63902,1.18759,0.000445756,0.000445756,0.000445756
39,6954.38,1.3189,0.66853,1.14183,0.79933,0.77967,0.84111,0.49285,1.3342,0.63014,1.18785,0.000412749,0.000412749,0.000412749
40,7131.76,1.31938,0.67017,1.13933,0.81555,0.76939,0.84755,0.49533,1.32954,0.6333,1.18458,0.000379743,0.000379743,0.000379743
41,7305.87,1.31369,0.65276,1.15694,0.78593,0.78039,0.83811,0.49207,1.32595,0.63496,1.18012,0.000346736,0.000346736,0.000346736
42,7476.14,1.3039,0.64704,1.14779,0.79712,0.77655,0.84004,0.49233,1.32741,0.63184,1.18184,0.000313729,0.000313729,0.000313729
43,7649.15,1.29911,0.63632,1.14851,0.81118,0.77286,0.84653,0.49668,1.32881,0.62937,1.18255,0.000280723,0.000280723,0.000280723
44,7820.25,1.29449,0.63279,1.14988,0.80647,0.7676,0.84481,0.49732,1.32598,0.62325,1.18294,0.000247716,0.000247716,0.000247716
